,Codigo
0,ASAI3.SA
1,CRFB3.SA
2,PCAR3.SA
3,ARZZ3.SA
4,BHIA3.SA
5,SOMA3.SA
6,LREN3.SA
7,MGLU3.SA
8,PETZ3.SA
9,CYRE3.SA
10,EZTC3.SA
11,MRVE3.SA
12,ALSO3.SA
13,IGTI11.SA
14,MULT3.SA
15,BRAP4.SA
16,CMIN3.SA
17,VALE3.SA
18,GGBR4.SA
19,GOAU4.SA
20,CSNA3.SA
21,USIM5.SA
22,RRRP3.SA
23,CSAN3.SA
24,PETR3.SA
25,PETR4.SA
26,RECV3.SA
27,PRIO3.SA
28,UGPA3.SA
29,VBBR3.SA
30,FLRY3.SA
31,HAPV3.SA
32,RDOR3.SA
33,LWSA3.SA
34,TOTS3.SA
35,CMIG4.SA
36,CPLE6.SA
37,CPFE3.SA
38,ELET3.SA
39,ELET6.SA
40,ENGI11.SA
41,ENEV3.SA
42,EGIE3.SA
43,EQTL3.SA
44,TAEE11.SA
